date,binary_target_net_income,prob_down,prob_up,net_prob_score,window,cid,return_1q,year,decile_bin,decile_id
2023-11-02,0,0.9120143,0.087985694,-0.8240286,2019-2024,SP-032564,-0.0600329112591,2023,1,1
2023-05-10,0,0.9452774,0.05472263,-0.8905548,2019-2024,SP-032670,-0.1731460319103355,2023,1,1
2023-03-09,0,0.91483,0.08516997,-0.82966006,2019-2024,SP-035743,0.1715419368997444,2023,1,1
2023-05-11,0,0.9537678,0.04623218,-0.9075356,2019-2024,SP-035743,-0.0092356369912512,2023,1,1
2023-05-04,0,0.9430901,0.05690995,-0.88618016,2019-2024,SP-037775,-0.2663002282301533,2023,1,1
2023-11-08,0,0.90944767,0.090552375,-0.8188953,2019-2024,SP-038424,0.1370670490134914,2023,1,1
2023-08-11,0,0.9548588,0.04514127,-0.9097175,2019-2024,SP-038560,0.3880107963482849,2023,1,1
2023-11-08,0,0.91142863,0.088571385,-0.82285726,2019-2024,SP-038560,0.0127236412455123,2023,1,1
2023-06-08,0,0.9568423,0.043157678,-0.9136846,2019-2024,SP-038876,-0.1502806152999784,2023,1,1
2023-08-08,0,0.90993357,0.090066426,-0.81986713,2019-2024,SP-039092,-0.2163955178535762,2023,1,1
2023-11-07,0,0.9333127,0.06668725,-0.8666255,2019-2024,SP-039092,0.2145883991128727,2023,1,1
2023-05-11,0,0.9096643,0.09033574,-0.81932855,2019-2024,SP-040290,0.0264901705477269,2023,1,1
2023-08-03,0,0.96055174,0.039448272,-0.9211035,2019-2024,SP-040290,0.0494357554826442,2023,1,1
2023-09-01,0,0.949751,0.050248973,-0.89950204,2019-2024,SP-041817,0.0474276324570995,2023,1,1
2023-05-08,0,0.91035795,0.08964199,-0.82071596,2019-2024,SP-062723,0.4288275491926796,2023,1,1
2023-03-09,0,0.9469083,0.053091776,-0.89381653,2019-2024,SP-063476,-0.0790592043873413,2023,1,1
2023-02-22,0,0.95613843,0.043861493,-0.9122769,2019-2024,SP-064107,-0.1522728897303578,2023,1,1
2023-05-24,1,0.91402453,0.08597546,-0.82804906,2019-2024,SP-064492,-0.1045998092937246,2023,1,1
2023-08-10,1,0.9567639,0.04323601,-0.9135279,2019-2024,SP-064492,0.3196552572398876,2023,1,1
2023-08-10,0,0.9446826,0.055317372,-0.8893652,2019-2024,SP-064625,-0.2060132223450186,2023,1,1
2023-03-09,1,0.9479276,0.052072436,-0.8958552,2019-2024,SP-064775,-0.0042331112804324,2023,1,1
2023-11-08,0,0.9440011,0.055998873,-0.8880022,2019-2024,SP-064775,-0.01672122019299,2023,1,1
2023-11-09,0,0.9226365,0.07736345,-0.8452731,2019-2024,SP-065613,-0.0430864012357399,2023,1,1
2023-03-10,1,0.90925133,0.09074871,-0.8185026,2019-2024,SP-066401,0.1875081028696253,2023,1,1
2023-08-10,0,0.9346606,0.06533939,-0.8693212,2019-2024,SP-105222,-0.0676278786685016,2023,1,1
2023-11-09,0,0.9584959,0.041504152,-0.9169918,2019-2024,SP-105222,-0.2353453897161259,2023,1,1
